Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of  ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
59390,"UNIFIED CARE PROVIDERS, INC","6 VENTURE, SUITE 210",IRVINE,CA,92618,536,190,18.6,10.5,6.1,0,0.1,1.9,0,"1,456,713","1,778,415","1,611,018",0.3,22,"8,797",83,68,122,57,133,140,,33,,0,,2.67,0.24737,0.54737,0.26316,0.11579,0.41053,0.52105,0.24211,0.57368,0.51579,0.66842,,0.61053,0.23684,0.66316,0.11579,0.16316
59391,MODERN HOME HEALTH CARE INC,"3130 BONITA ROAD, SUITE 103",CHULA VISTA,CA,91910,"1,256",684,23.7,17.2,4.3,1.5,0.1,0.5,0.1,"4,460,125","4,733,315","3,777,716",8.7,115,"47,485",75,299,385,283,401,328,49,79,203,0,25,2.9,0.20322,0.4152,0.40058,0.11404,0.54678,0.62719,0.39181,0.44591,0.58041,0.7193,,0.54971,0.17544,0.5117,0.21637,0.1462
59392,"PROHEALTH HOME CARE, INC","2125 OAK GROVE ROAD, SUITE 124 A & B",WALNUT CREEK,CA,94598,164,154,11.5,4.5,5.5,0.9,0.1,0.4,0.2,"416,727","693,024","450,706",0.1,26,"17,761",79,64,90,118,36,107,16,13,12,,,1.86,0.21429,0.2987,0.26623,0.15584,0.33117,0.49351,0.23377,0.29221,0.36364,0.5974,,0.30519,0.14286,0.53896,0.04545,0.0974
59394,"M.G.A. HOME HEALTH SERVICES, INC.","2112 WEST WHITTIER BLVD, SUITE 104",MONTEBELLO,CA,90640,235,133,18.4,14.9,2.8,0.4,0,0.3,0.1,"783,423","839,530","646,146",8.5,14,"6,902",74,58,75,33,100,60,,,56,,,2.93,0.18797,0.30075,0.36842,0.04511,0.55639,0.59398,0.3609,0.47368,0.70677,,,,0.18797,,0.07519,0.11278
59395,"NCA HOME HEALTH CARE, INC","10523 BURBANK BLVD, #109",NORTH HOLLYWOOD,CA,91601,546,345,17.4,12,4.9,0.1,0,0.2,0.2,"1,415,936","2,102,630","1,674,846",6.8,17,"7,588",74,134,211,20,325,92,42,,183,,15,1.74,0.05217,0.23478,0.32464,0.05797,0.34203,0.47826,0.29565,0.45507,0.62029,,,,0.24058,,0.03188,0.04058
59396,"KIND HANDS, INC",12340 SANTA MONICA BLVDSUITE 227,LOS ANGELES,CA,90025,175,100,19.3,13.5,5.4,0.3,0,0.1,0,"452,403","816,578","625,828",8.6,0,,79,37,63,,,86,,,,0,,1.94,0.11,0.41,0.29,0.14,0.43,0.3,0.27,0.55,0.52,,,,0.25,,0.07,0.04
59397,GUARDIAN ANGEL HOME CARE INC,"647 EAST E STREET, SUITE 105",ONTARIO,CA,91764,331,141,15.3,5.7,7.1,1.5,0.2,0.6,0.1,"1,159,899","1,279,461","1,136,544",0,25,"10,617",80,55,86,86,55,88,13,11,29,0,0,3.14,0.17021,0.55319,0.34752,0.17021,0.52482,0.59574,0.31915,0.37589,0.50355,0.60993,,0.57447,0.1773,0.57447,0.08511,0.12057
59398,VITAL CARE HEALTH SYSTEMS,"444 CAMINO DEL RIO SOUTH, SUITE 219",SAN DIEGO,CA,92108,"1,128",697,16,9,5.1,1.2,0.2,0.2,0.3,"4,024,247","3,719,521","3,254,912",0.1,53,"25,568",75,296,401,322,375,408,69,59,137,,,2.65,0.16499,0.47059,0.41463,0.08321,0.51363,0.50072,0.39885,0.48924,0.55524,0.64993,,0.4462,0.1363,0.50502,0.31277,0.12195
59399,"SIGNATURE HOME HEALTH CARE, INC","9025 WILSHIRE BLVD, SUITE 205",BEVERLY HILLS,CA,90211,170,77,24.9,10.5,9.7,0,0.1,4.7,0.1,"852,856","765,606","631,362",2.7,,,82,24,53,25,52,65,,,,0,,2.62,0.22078,0.55844,0.32468,0.15584,0.55844,0.55844,0.36364,0.54545,0.46753,0.63636,,0.72727,0.22078,,0.07792,0.1039
59400,"HOME HEALTH 2U, INC",273 W. ALAMEDA AVE,BURBANK,CA,91502,313,136,15.9,10.7,5,0,0,0.2,0,"667,993","1,115,473","929,618",2.7,,,75,53,83,,,56,27,0,43,,,1.89,0.09559,0.31618,0.36029,0.08088,0.44118,0.46324,0.36765,0.46324,0.67647,0.72794,,,0.19853,,0.03676,0.05882
59401,"CAREONE HOME HEALTH AND HOSPICE, INC","2813 COFFEE ROAD, BUILDING C-2",MODESTO,CA,95355,"1,574","1,255",18,8.2,8.4,0.5,0.2,0.7,0.1,"4,652,558","6,429,671","5,288,974",0.1,231,"122,419",76,518,737,754,501,842,57,81,250,,,2.43,0.22311,0.28924,0.39363,0.15299,0.46932,0.61355,0.349,0.3251,0.5243,0.65179,,0.59841,0.13068,0.56733,0.04303,0.1745
59402,"A1 UNLIMITED HOME HEALTH CARE, INC","4430 SANTA MONICA BOULEVARD, SUITE 203",LOS ANGELES,CA,90029,337,236,18.5,11.1,5.7,0.2,0,1.4,0,"1,325,826","1,352,828","1,072,852",6.2,11,"7,002",75,80,156,42,194,108,,,107,0,,2.15,0.10169,0.2839,0.25,0.08475,0.36864,0.4322,0.24153,0.41949,0.55508,0.70763,,0.62712,0.26271,,0.0678,0.03814
59404,"GENTLE TOUCH HOME HEALTH CARE, INC.",6342 COLDWATER CANYON AVE.,N HOLLYWOOD,CA,91606,489,196,20.2,14.2,5.2,0.2,0,0.6,0.1,"1,321,585","2,010,567","1,570,146",8.6,,,78,80,116,17,179,135,0,,44,,11,1.72,0.10204,0.39286,0.32653,0.07653,0.51531,0.56633,0.30102,0.62755,0.75,,,,0.28571,,0.08673,0.07143
59406,"WE CARE HOME HEALTH, INC",811 MILFORD STREET SUITE A,GLENDALE,CA,91203,189,107,16.2,11.6,4.1,0,0,0.4,0.1,"456,533","628,877","513,447",4.6,,,74,42,65,,,35,,,62,0,,1.63,0.11215,0.3271,0.28037,0.03738,0.23364,0.4486,0.2243,0.31776,0.56075,0.69159,,0.62617,0.16822,0.72897,0.07477,0.05607
59407,AMAX HOME HEALTH INC,22750 HAWTHORNE BLVD SUITE 211,TORRANCE,CA,90505,54,45,14.8,6.3,6.9,0.4,0.1,1,0,"110,923","209,361","176,539",0.7,,,79,17,28,30,15,23,,14,,0,,2.01,0.08889,0.42222,0.22222,0.11111,0.37778,0.48889,0.17778,0.26667,0.62222,0.68889,,0.33333,0.37778,0.64444,0.08889,0.08889
59408,"BLUE RIBBON HOME HEALTH, INC","4020 WEST MAGNOLIA BLVD, SUITE I",BURBANK,CA,91505,661,273,17.2,12,4.5,0,0,0.7,0,"1,517,937","2,513,593","1,956,559",7.2,,,74,111,162,13,260,207,,17,21,,20,1.99,0.05861,0.43223,0.4359,0.09158,0.4652,0.42125,0.38462,0.68864,0.59341,,,,0.25641,,0.16117,0.03297
59409,"HOME HEALTH PLUS SERVICES, INC","50 EAST FOOTHILL BLVD, STE 201",ARCADIA,CA,91006,813,345,16.3,11.4,4.3,0.2,0,0.3,0.1,"2,380,123","2,932,635","2,299,895",6.7,19,"9,117",79,108,237,203,142,162,83,37,53,,,2.52,0.21159,0.33623,0.45217,0.08406,0.50725,0.51304,0.45217,0.30435,0.56232,0.64928,,0.55652,0.2,0.58841,0.06667,0.14203
59410,"HARVARD HEALTH SERVICES, INC","126 SOUTH JACKSON  ST, SUITE 205",GLENDALE,CA,91205,52,24,19.8,10.2,7.2,0.3,0,2,0,"133,602","201,999","169,710",0,0,,72,,,0,24,22,0,,,0,0,1.23,0.04167,0.20833,0.125,0.08333,0.125,0.41667,0.125,0.58333,0.5,,,0.5,0.29167,,0,0.08333
59411,"VALLEY CARE HOME HEALTH, INC.","353 E ANGELENO AVE, STE J",BURBANK,CA,91502,396,162,18.2,11.5,6.5,0.1,0,0.1,0,"954,425","1,882,796","1,448,610",8.6,,,74,59,103,,,77,0,,78,0,,1.67,0.06173,0.31481,0.35185,0.07407,0.42593,0.38889,0.17901,0.34568,0.66049,,,,0.17901,,0.03086,0.02469
59412,"SANITY HOME HEALTH SERVICES, INC",10501 SOUTH WESTERN AVENUE,LOS ANGELES,CA,90047,71,32,11.3,8.5,1.7,0.1,0,0.9,0,"162,271","173,392","145,740",0,,,71,13,19,,,,17,0,,0,0,1.55,0.0625,0.28125,0.46875,0.15625,0.34375,0.34375,0.375,0.4375,0.4375,0.65625,,0.5,0.1875,,0.15625,0.0625
59413,"WE CARE HOME CARE AND HOSPICE, INC.",46723 FREMONT BOULEVARD,FREMONT,CA,94538,228,164,16.1,8.5,5.7,1.5,0.1,0.2,0.1,"552,809","1,084,374","691,656",0,23,"16,505",79,70,94,62,102,56,,49,40,,11,2.37,0.34146,0.25,0.39634,0.12805,0.67073,0.59756,0.38415,0.17073,0.64024,,,,0.09146,0.53659,0.03049,0.18902
59414,ADVANCED HOME HEALTH SAN DIEGO INC,"8996 MIRAMAR ROAD, SUITE 220",SAN DIEGO,CA,92126,152,98,15.6,8.5,5.7,1.1,0.1,0.1,0.2,"600,837","513,550","457,118",0.4,22,"10,752",74,48,50,67,31,57,,13,16,0,,2.35,0.20408,0.21429,0.31633,0.14286,0.43878,0.61224,0.29592,0.29592,0.45918,0.64286,,0.46939,0.15306,0.52041,0.06122,0.14286
59415,"DIRECT PROVIDER OF HEALTHCARE SERVICES, INC",9320 BASELINE ROAD SUITE B,RANCHO CUCAMONGA,CA,91701,552,413,14.4,9.4,4.5,0,0,0.4,0,"1,132,175","1,652,831","1,507,622",0,,,74,212,201,182,231,259,34,27,78,,,2.52,0.15254,0.45521,0.42857,0.10169,0.42857,0.55206,0.39225,0.50363,0.5109,0.64891,,0.49637,0.1138,0.45763,0.22518,0.1138
59416,"ADVANCED HOME CARE SERVICES, INC","981 CORPORATE CENTER DRIVE, STE 215",POMONA,CA,91768,319,148,14.1,9.8,2.5,0.3,0,1.4,0.2,"944,917","926,209","790,259",1.4,14,"5,266",78,56,92,54,94,44,,13,79,,,2.81,0.16892,0.33108,0.35135,0.06081,0.58108,0.60811,0.28378,0.30405,0.58784,0.65541,,0.61486,0.16216,0.72297,0.03378,0.10811
59417,ARISE HOME CARE CORP,"1420 N. CLAREMONT BLVD, UNIT 203B",CLAREMONT,CA,91711,140,81,15.9,9.3,5.6,0.1,0,0.9,0.1,"307,255","448,027","398,838",1.1,,,75,28,53,31,50,46,,,19,,,2.48,0.11111,0.34568,0.25926,0.07407,0.38272,0.48148,0.23457,0.48148,0.49383,0.64198,,0.5679,0.14815,0.71605,0.12346,0.12346
59418,HEALTHWISE HOME HEALTH CARE INC,"1615 SWEETWATER ROAD, SUITE 1",NATIONAL CITY,CA,91950,600,398,20,15.2,3.6,1,0.1,0.1,0.1,"1,986,144","2,374,982","1,913,288",9.4,38,"18,753",78,134,264,121,277,107,28,87,156,,,2.73,0.23367,0.33668,0.41206,0.08794,0.67085,0.59799,0.37688,0.29146,0.59799,,,0.73618,0.1809,0.64824,0.07538,0.11809
59420,ALL AMERICANS CHOICE HOME HEALTH INC,2619 S WATERMAN AVENUE SUITE C,SAN BERNARDINO,CA,92408,361,233,18.7,8.4,10,0,0,0.3,0,"969,079","1,448,375","1,315,729",0.5,,,68,123,110,43,190,82,25,75,42,,,1.87,0.07725,0.29614,0.40773,0.03863,0.60944,0.33047,0.34764,0.44206,0.46352,0.52361,,0.4721,0.11159,0.65665,0.41631,0.05579
59422,"CALCARE HOME HEALTH CARE & HOSPICE, INC.",455 HICKEY BOULEVARD SUITE 505B,DALY CITY,CA,94015,505,263,13.6,8.5,3.4,0.7,0.1,0.8,0.2,"1,103,777","2,088,078","1,349,049",0.1,61,"36,911",78,118,145,137,126,140,26,46,43,,,2.39,0.20532,0.47148,0.3308,0.14068,0.38783,0.52852,0.23954,0.30038,0.49049,0.54753,,0.46768,0.10266,0.45627,0.06844,0.08745
59438,"I&V HOME HEALTH, INC.","644 W BROADWAY, SUITE 112",GLENDALE,CA,91204,514,280,13.9,8.9,4.4,0.5,0,0.1,0,"934,665","1,824,989","1,513,635",3,0,,74,130,150,12,268,81,,,165,0,24,1.43,0.05714,0.21071,0.21429,0.05714,0.25,0.48571,0.14643,0.41429,0.59286,,,0.62143,0.19643,,0.02857,0.05357
59423,CALIFORNIA NURSING CARE SERVICES INC,"10970 ARROW ROUTE, SUITE 205",RANCHO CUCAMONGA,CA,91730,227,64,11.2,10.4,0.5,0,0,0.2,0,"385,861","521,180","452,131",0,,,66,32,32,,,12,27,,23,0,,2.5,0.04688,0.17188,0.42188,0.0625,0.35938,0.45313,0.39063,0.3125,0.59375,0.54688,,,0.0625,,0.09375,0.29688
59425,COLUMBIA EXCEL HOME HEALTH CARE,"7325 MEDICAL CENTER DRIVE, SUITE 307",WEST HILLS,CA,91307,74,22,9.3,7.7,1.4,0.2,0,0,0,"164,501","181,513","154,399",0,,,77,,,,,,,,,0,0,3.41,0.13636,0.31818,0.22727,0.13636,0.5,0.45455,0.22727,0.40909,0.40909,0.54545,,0.45455,0.04545,0.5,0.04545,0.27273
59426,THERAPEUTIC HOME HEALTHCARE,"5150 N SIXTH STREET, STE 110",FRESNO,CA,93710,124,100,12.1,5.5,5.7,0.5,0.1,0,0.3,"343,436","377,143","362,962",0.1,,,79,49,51,62,38,58,,,24,,,2.36,0.14,0.42,0.34,0.12,0.41,0.51,0.28,0.31,0.5,0.6,,0.52,0.19,0.46,0.07,0.14
59427,"ALLWELL MEDICAL SERVICES, INC",904 NORTH LA BREA AVE#2,INGLEWOOD,CA,90302,128,42,19.3,8.5,7,0.4,0,3.4,0,"328,961","448,346","377,073",0,,,79,16,26,18,24,12,23,,,0,,2.17,0.09524,0.33333,0.42857,0.14286,0.47619,0.52381,0.40476,0.66667,0.5,0.66667,,0.59524,0.47619,,0.16667,0.16667
59429,"FIRST RESPONSE HOME CARE, INC","150 EAST OLIVE AVE, SUITE 307",BURBANK,CA,91502,701,333,14.6,10,4.2,0,0,0.4,0,"1,447,877","2,353,587","1,941,320",1.9,,,74,122,211,,,246,,20,14,,50,1.48,0.06306,0.37237,0.38438,0.08408,0.34535,0.38739,0.33634,0.43844,0.57658,,,0.70871,0.21622,,0.08709,0.02402
59430,"SANTA HOME HEALTH CARE, INC.","8281 MELROSE AVE, SUITE 205",LOS ANGELES,CA,90046,691,347,19.5,15.7,2.8,0.1,0,1.2,0,"2,120,635","2,423,034","1,929,886",8.4,,,77,148,199,102,245,277,16,15,28,0,11,2.27,0.14121,0.48415,0.34294,0.11816,0.53314,0.51297,0.29971,0.5072,0.54755,0.6513,,,0.18444,,0.35447,0.08069
59431,SHERMAN HOME HEALTH CARE LLC,"596 N LAKE AVENUE, #203",PASADENA,CA,91101,278,256,11.5,4.4,6.8,0.1,0,0.1,0.1,"479,164","866,251","758,158",0,11,"5,285",75,114,142,64,192,73,28,44,106,,,2.33,0.10547,0.29688,0.33984,0.10156,0.44922,0.49219,0.25391,0.32422,0.62891,0.74219,,0.69531,0.19922,,0.07031,0.07813
59432,"ARGUS HOME HEALTH, INC","13746 VICTORY BOULEVARD, SUITE 215",VAN NUYS,CA,91401,422,197,21.3,14.5,5.6,0.1,0,1,0,"1,194,644","1,830,858","1,400,375",8.8,0,,75,70,127,,,161,0,,,0,25,1.47,0.04569,0.35533,0.32995,0.06599,0.38579,0.39594,0.3198,0.50761,0.55838,,,0.74112,0.19289,,0.04061,0.05076
59433,"PRECISE HOME HEALTH CARE, INC.",1241 SOUTH GLENDALE AVE SUITE 301,GLENDALE,CA,91205,653,367,17.2,11.5,5.3,0,0,0.3,0,"1,494,762","2,501,153","2,005,594",4.5,,,73,138,229,22,345,261,14,,36,,45,1.72,0.07357,0.36512,0.36512,0.07357,0.43597,0.40599,0.3624,0.57493,0.61035,,,,0.26703,,0.07084,0.04905
59434,"AMAX CARE SERVICES, INC",936 CRENSHAW BLVD SUITE 203,LOS ANGELES,CA,90019,245,142,16.3,11,3.8,0.5,0,0.8,0.2,"1,138,041","831,305","673,307",3.9,16,"8,497",79,51,91,104,38,113,11,,,0,,2.24,0.17606,0.30282,0.22535,0.23944,0.53521,0.47183,0.19718,0.42958,0.35211,0.64085,,0.58451,0.17606,0.59155,0.11972,0.11268
59435,"TRI-VALLEY HOME HEALTH CARE, INC","37 W YOKUTS AVE, SUITE C2",STOCKTON,CA,95207,128,76,12.6,10.9,0.8,0.5,0.3,0.1,0.1,"340,373","357,501","290,877",0,,,70,40,36,24,52,23,14,13,22,,,2.48,0.13158,0.23684,0.39474,0.15789,0.47368,0.56579,0.36842,0.23684,0.47368,0.57895,,0.47368,0.07895,0.26316,0.10526,0.07895
59436,"THE CARING CONNECTION, INC",10727 WHITE OAK AVE SUITE 206,GRANADA HILLS,CA,91344,26,18,12.5,3,7.2,0.8,0.9,0.4,0.1,"48,601","98,029","82,439",0,,,68,,,,,13,,,,0,0,2.06,0.27778,0.38889,0.33333,0.05556,0.55556,0.44444,0.22222,0.44444,0.33333,0.72222,,0.55556,0.44444,0.5,0.05556,0.16667
59437,"PANACEA GROUP, INC","1160 N CENTRAL AVENUE, SUITE 212",GLENDALE,CA,91202,74,29,24.6,22.7,1,0,0,0.9,0,"357,751","237,919","182,276",8.8,0,,73,12,17,,,19,0,,,0,,2.69,0.10345,0.31034,0.2069,0.06897,0.68966,,0.17241,0.51724,,,,,0.10345,0.55172,0.03448,0.03448
59439,"DEVOTED NURSES HOME HEALTH CARE,  INC","5627 SEPULVEDA BLVD, SUITE 215",VAN NUYS,CA,91411,167,89,23.1,15.8,5.7,0.5,0,1,0,"812,903","729,429","569,465",8.6,,,76,28,61,,,62,0,0,21,,,1.64,0.08989,0.4382,0.26966,0.05618,0.53933,0.4382,0.21348,0.59551,0.60674,0.70787,,0.74157,0.20225,,0.02247,0.07865
59440,"GENTLE TOUCH HEALTH SERVICES, INC","11755 VICTORY BLVD, STE 203",N HOLLYWOOD,CA,91606,826,353,17.9,12.8,4.5,0,0,0.7,0,"2,088,859","3,044,700","2,409,385",5.7,,,74,140,213,11,342,281,0,24,,,45,1.55,0.07082,0.35411,0.3881,0.06799,0.3881,0.46742,0.35127,0.57507,0.54391,,,,0.23796,,0.03966,0.07082
59441,"GOLDEN PACIFIC HOME HEALTH, INC","1151 HARBOR BAY PARKWAY, SUITE 122",ALAMEDA,CA,94502,35,26,18.4,11.9,4.3,1.8,0,0.3,0.1,"109,938","162,043","99,214",4.1,,,77,,,15,11,14,,,,0,,2.22,0.11538,0.26923,0.30769,0.15385,0.38462,0.53846,0.15385,0.38462,0.53846,0.61538,,0.38462,0.03846,0.38462,0.11538,0.19231
59442,"GOLDEN STATE HOME HEALTH CARE & HOSPICE, INC","324 E 11TH STREET, SUITE H-3",TRACY,CA,95376,458,311,15.9,8.2,5.4,0.5,0.2,1.6,0.1,"1,103,722","1,669,737","1,340,814",0.2,49,"25,466",72,154,157,81,230,129,39,51,88,,,2.65,0.14148,0.26367,0.42765,0.05788,0.36334,0.5627,0.37942,0.33762,0.54662,0.6463,,0.54662,0.09003,0.44373,0.23151,0.09968
59443,"CORE HOME HEALTH AGENCY, INC","421 ARDEN AVENUE, SUITE B",GLENDALE,CA,91203,339,225,16.9,10.8,5.5,0.2,0,0.3,0.1,"804,296","1,304,605","1,075,897",1.9,0,,75,88,137,18,207,154,12,11,25,0,23,1.66,0.08,0.40889,0.39111,0.05333,0.32889,0.49333,0.39111,0.65333,0.63111,,,,0.27556,,0.07111,0.05333
59445,"EGEIA HOME HEALTH, INC.",1101 E. BROADWAY AVENUE SUITE 102,GLENDALE,CA,91205,293,160,14.7,13,1.7,0,0,0.1,0,"592,218","926,963","726,739",6.6,,,76,63,97,,,134,,,0,0,20,1.88,0.06875,0.54375,0.46875,0.08125,0.4125,0.4625,0.43125,,0.625,,,,0.225,,0.09375,0.04375
59446,"PRIORITY HEALTH GROUP, INC.","511 EAST HARVARD ST., SUITE 2",GLENDALE,CA,91205,345,174,15.2,10.4,4.5,0,0,0.3,0,"746,923","1,049,379","899,353",0,0,,78,46,128,,,14,0,102,49,,,1.45,0.04023,0.17816,0.28736,0.05172,0.25862,0.5977,0.21264,0.22989,0.63793,,,0.68966,0.25862,,0.00575,0.00575
59447,ABSOLUTE HOME HEALTH INC,"4740 MURPHY CANYON ROAD, SUITE 222",SAN DIEGO,CA,92123,331,165,15.3,9.3,3.7,1,0.1,1.1,0.2,"768,671","980,050","856,608",0.1,28,"13,248",80,68,97,45,120,116,11,,17,,14,2.54,0.24242,0.45455,0.28485,0.13939,0.58788,0.52121,0.27879,0.50303,0.52727,,,0.71515,0.12727,0.67273,0.14545,0.14545
59448,"AFFINITY HEALTH CARE PROVIDERS, INC","1551 COLORADO BLVD, SUITE 203",LOS ANGELES,CA,90041,166,85,19.5,10.3,6.2,0.3,0,2.2,0.4,"491,888","578,466","483,070",0.7,,,71,47,38,16,69,44,13,,19,0,,3.09,0.14118,0.42353,0.47059,0.14118,0.44706,0.54118,0.49412,0.6,0.43529,0.54118,,0.56471,0.18824,0.69412,0.43529,0.07059
59449,"TOP LINE HOME HEALTHCARE, INC","2525 COLORADO B LVD, SUITE B",LOS ANGELES,CA,90041,286,159,17.1,11,5.6,0.2,0,0.1,0.1,"684,010","1,085,773","874,929",5.8,,,76,64,95,39,120,104,22,,17,,11,1.96,0.13208,0.40252,0.25786,0.10063,0.49057,0.49057,0.23899,0.57233,0.60377,0.74843,,0.67296,0.22642,,0.10063,0.1195
59450,NEIGHBOR CARE HOME HEALTH,"2955 E HILLCREST DRIVE, SUITE 123",WESTLAKE VILLAGE,CA,91362,928,502,19,13.9,3.7,0.8,0.1,0.6,0.1,"3,382,623","3,413,677","2,723,477",6.6,28,"13,288",80,185,317,381,121,408,,27,48,,11,2.24,0.2251,0.44024,0.36653,0.1494,0.60558,0.50996,0.34861,0.47809,0.46215,0.6992,,0.54582,0.251,0.63147,0.08964,0.15737
59452,ALPHA HOME HEALTH,3333 CONCOURS ST BLDG #7 SUITE 7100,ONTARIO,CA,91764,217,135,15.5,7.9,6.4,0.4,0.1,0.5,0.1,"745,412","776,540","666,379",0.3,,,75,59,76,34,101,81,,,36,0,,2,0.08889,0.3037,0.25926,0.08889,0.28148,0.45926,0.22963,0.58519,0.51852,0.67407,,0.57778,0.16296,,0.02963,0.06667
59454,"NEXUS HOME HEALTH, INC","141 SOUTH A STREET, SUITE #101",OXNARD,CA,93033,420,308,18.9,10.3,6.8,0.8,0,0.8,0.2,"1,134,979","1,620,614","1,301,705",3.3,,,78,128,180,171,137,181,,24,91,,,2.46,0.24675,0.42857,0.28571,0.13961,0.46104,0.57143,0.28247,0.36688,0.47078,0.64935,,0.47078,0.14935,0.56169,0.11364,0.14935
59455,KENO HOME HEALTH AGENCY LLC,"8429 WHITE OAK, SUITE 102",RANCHO CUCAMONGA,CA,91730,221,82,14.4,11.5,2.6,0,0.1,0.1,0.1,"492,967","613,630","527,008",4.4,,,69,38,44,19,63,20,16,,38,0,,4.49,0.07317,0.36585,0.37805,0.07317,0.52439,,0.32927,0.45122,0.67073,0.56098,,0.56098,0.03659,0.32927,0.08537,0.21951
59456,HEAVENLY HOME HEALTH  INC,"805 EAST BROADWAY, SUITE H",GLENDALE,CA,91205,192,120,19.9,14.2,5.2,0.2,0.1,0.1,0.2,"515,072","744,112","585,058",6.5,,,80,50,70,49,71,41,,,70,,,2.46,0.275,0.39167,0.36667,0.10833,0.60833,0.65,0.34167,0.38333,0.60833,0.725,,0.75,0.13333,0.71667,0.11667,0.13333
59457,"SILVER STAR HOME HEALTH, INC","1007 SOUTH CENTRAL AVENUE, SUITE 212",GLENDALE,CA,91204,203,55,20.1,13.4,1.3,0.1,0,5.2,0,"554,492","598,912","466,248",8.7,,,74,24,31,,,45,,0,,0,,2.49,0.14545,0.41818,0.4,0.10909,0.50909,0.54545,0.32727,0.58182,0.70909,0.52727,,0.6,0.23636,0.63636,0.34545,0.01818
59458,"SUNRISE HOME HEALTH CARE PROVIDER, INC","2211 SOUTH HACIENDA BLVD, #210",HACIENDA HEIGHTS,CA,91745,224,174,11.8,9.4,1.6,0.7,0,0,0.1,"404,545","653,927","547,637",0.7,17,"6,759",79,56,118,11,163,,,128,33,0,,2.52,0.15517,0.41954,0.46552,0.13793,0.33333,0.58621,0.45977,0.27011,0.55172,0.67816,,,0.37931,0.68966,0.1092,0.0977
59459,"PLEASANT HOME HEALTH CARE, INC.","1516 NORTH SAN FERNANDO BLVD, STE 206",BURBANK,CA,91504,485,182,17.3,12.4,3.8,0.2,0,0.9,0,"1,120,345","1,620,778","1,297,354",4.7,0,,76,67,115,,,159,0,,,0,13,1.56,0.06044,0.49451,0.45055,0.06593,0.36813,0.42308,0.42308,,0.57143,,,,0.36264,,0.06044,0.02747
59460,"RIGHT CHOICE HOME HEALTH, INC.","6365 VAN NUYS BLVD, UNIT 3 AND 4",VAN NUYS,CA,91401,544,232,17.4,12.5,4.3,0.1,0,0.4,0,"1,266,807","2,100,002","1,653,142",6.2,,,74,83,149,12,220,172,,11,11,,27,1.89,0.09052,0.47845,0.46983,0.09483,0.46552,0.5,0.4569,0.68534,0.62069,,,,0.36638,,0.0431,0.06034
59462,"FARALLON HOME HEALTH CARE, LLC","800 AIRPORT BOULEVARD, SUITE 412",BURLINGAME,CA,94010,586,446,14.4,7.7,5.6,0.8,0.1,0.2,0.1,"1,774,583","2,658,372","1,693,687",0.2,76,"47,518",80,153,293,215,231,191,24,104,115,,,2.05,0.1861,0.41031,0.27354,0.12556,0.36547,0.46861,0.19731,0.29372,0.49776,0.61883,,0.46188,0.14798,0.54709,0.04036,0.12556
59463,"SWEET ANGELS HOME HEALTH PROVIDER, INC","3443 RAMONA AVENUE, SUITE 23",SACRAMENTO,CA,95826,201,170,18.1,8,7.4,1,0.1,1.2,0.4,"801,952","911,778","619,018",0.3,13,"8,392",75,70,100,81,89,110,18,14,20,,,2.3,0.22353,0.35882,0.41176,0.11176,0.45882,0.58235,0.35882,0.44706,0.43529,0.57059,,0.48235,0.18235,0.52353,0.07059,0.12941
59464,LORIAN HEALTH,"25032 LAS BRISAS ROAD, SUITE #C",MURRIETA,CA,92562,718,537,11.8,6.9,3.6,0.5,0,0.5,0.3,"1,767,576","2,099,958","1,873,432",0.5,124,"52,655",77,224,313,270,267,283,57,19,164,,,2.61,0.18436,0.3352,0.37989,0.10056,0.5121,0.56611,0.37616,0.33147,0.50279,0.60894,,0.58845,0.08752,0.52514,0.07263,0.12477
